"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Dr+Rakesh+Agrawal+Neurology+Clinic/data=!4m7!3m6!1s0x396db53f49295e39:0xd37de56ebd5c839b!8m2!3d26.8638771!4d75.7635296!16s%2Fg%2F11hyn7v06r!19sChIJOV4pST-1bTkRm4NcvW7lfdM?authuser=0&hl=en&rclk=1","Dr Rakesh Agrawal Neurology Clinic","4.6","(142)","Doctor","·","","·","54/38, Ward, 27","Closed","· Opens 7 am","·","098293 43263","","","Directions","","","""Excellent Doctor with good behavior.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Vishal+Gupta/data=!4m7!3m6!1s0x396db5c05bf34a09:0xcaf83304b35a2ca0!8m2!3d26.8463848!4d75.7604895!16s%2Fg%2F11h4xl_d55!19sChIJCUrzW8C1bTkRoCxaswQz-Mo?authuser=0&hl=en&rclk=1","Dr. Vishal Gupta","4.9","(95)","Diabetologist","·","","·","House no 53, Sumer Nagar extension Q Block, opposite Parth residency","Closed","· Opens 7:30 am","·","081077 69802","https://drvishalgupta.co.in/","","Website","","Directions","""Excellent disease diagnosis and treatment...""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Gumber+Dental+Clinic/data=!4m7!3m6!1s0x396db527d4cd0161:0xe537d24526748089!8m2!3d26.8660185!4d75.7611615!16s%2Fg%2F11gv27mm5v!19sChIJYQHN1Ce1bTkRiYB0JkXSN-U?authuser=0&hl=en&rclk=1","Dr Gumber Dental Clinic","5.0","(226)","Dental clinic","·","","·","35/160, Rajat Path","Closed","· Opens 10 am","·","094135 34512","https://gumberdentalclinic.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Renova+Skin+laser+%26+hair+Clinic/data=!4m7!3m6!1s0x396db59029238ac9:0x98fc2c45c575d327!8m2!3d26.8418022!4d75.7771939!16s%2Fg%2F11cn3267yz!19sChIJyYojKZC1bTkRJ9N1xUUs_Jg?authuser=0&hl=en&rclk=1","Renova Skin laser & hair Clinic","4.8","(646)","Skin care clinic","·","","·","118/261, Shipra Path, opp. Jhulelal Tibbet Market","Closed","· Opens 10 am","·","094140 27285","https://www.renovaskinclinic.com/","","Website","","Directions","""Got relieved in just 15 days ,by","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr",",'s correct diagnosis."""
"https://www.google.com/maps/place/Metro+Mas+Hospital/data=!4m7!3m6!1s0x396db5acf0f25487:0xe0f830ecc595e65e!8m2!3d26.8681622!4d75.7683366!16s%2Fg%2F1hm4378h9!19sChIJh1Ty8Ky1bTkRXuaVxeww-OA?authuser=0&hl=en&rclk=1","Metro Mas Hospital","4.3","(5,118)","Hospital","·","","·","Shipra Path, Near Technology park","Open 24 hours","","·","0141 666 1234","https://www.metrohospitals.com/hospital/metro-mas-hospital-jaipur-rajasthan/","","Website","","Directions","""Good facilities, experienced","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctor","and helping staff"""
"https://www.google.com/maps/place/Dr.+N.K.+TAK+Mann+Clinic/data=!4m7!3m6!1s0x396db520edbe00d3:0xfc1096e4df6308ef!8m2!3d26.8398939!4d75.7417803!16s%2Fg%2F11f657r7q8!19sChIJ0wC-7SC1bTkR7whj3-SWEPw?authuser=0&hl=en&rclk=1","Dr. N.K. TAK Mann Clinic","4.9","(276)","Psychiatrist","·","","·","168 A, Sector 5, Patrakar colony, New Sanganer, Road","Closed","· Opens 7 am","·","099719 14747","https://drnktak.in/","","Website","","Directions","On-site services not available","","",""
"https://www.google.com/maps/place/Dr+Meenal+Makkar+-+MD+Dermatologist/data=!4m7!3m6!1s0x396db747dc9c854f:0x305a7b6d39e7dad4!8m2!3d26.8531568!4d75.7671595!16s%2Fg%2F11rmv7q7wb!19sChIJT4Wc3Ee3bTkR1NrnOW17WjA?authuser=0&hl=en&rclk=1","Dr Meenal Makkar - MD Dermatologist","4.9","(448)","Dermatologist","·","","·","First floor, 70/66 Main, Madhyam Marg, near Mansarovar Plaza, above Accord Showroom","Closed","· Opens 10 am","·","088299 00141","http://www.ladermisclinic.com/","","Website","","Directions","""Amazing","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctor",","
"https://www.google.com/maps/place/Dr+BL+Jain/data=!4m7!3m6!1s0x396db5a28ffef0df:0x3427d1b906d128e7!8m2!3d26.8477221!4d75.7698398!16s%2Fg%2F1yfdqydq0!19sChIJ3_D-j6K1bTkR5yjRBrnRJzQ?authuser=0&hl=en&rclk=1","Dr BL Jain","4.4","(168)","Pulmonologist","·","","·","111/196, Vijay Path","Closed","· Opens 10 am","·","076900 21988","","","Directions","","","""He did some allergy tests and on taking his treatment, I am now fully cured.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Arogya+Homoeopathic+Clinic+Mansarovar+Dr.+Surbhi+Sharma/data=!4m7!3m6!1s0x396db5ac0085496f:0xed15aac9ed77e0e3!8m2!3d26.8490996!4d75.7637759!16s%2Fg%2F11st_7yj03!19sChIJb0mFAKy1bTkR4-B37cmqFe0?authuser=0&hl=en&rclk=1","Arogya Homoeopathic Clinic Mansarovar Dr. Surbhi Sharma","4.9","(28)","Medical clinic","·","","Shop no. 17, New Sanganer Rd, near St. Wilfred College","·","Closed","· Opens 11 am","","098289 52875","","","Directions","","","""Clean environment with good treatment—highly recommended.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Priyush+Neuro+%26+Super+Speciality+Hospital/data=!4m7!3m6!1s0x396db599588db8e3:0xa35b58f37bedd2d9!8m2!3d26.8401982!4d75.7719058!16s%2Fg%2F11nnwk9c6j!19sChIJ47iNWJm1bTkR2dLte_NYW6M?authuser=0&hl=en&rclk=1","Priyush Neuro & Super Speciality Hospital","4.5","(576)","Hospital","·","","·","2/154, B2 Bypass Rd","Open 24 hours","","·","086900 99711","https://priyushhospital.com/","","Website","","Directions","""Best","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors","good staff and we are very satisfied with treatment"""
"https://www.google.com/maps/place/BREATH+CARE+-+Dr.Jitendra+%2F+Pulmonologist+in+Mansarovar+Jaipur/data=!4m7!3m6!1s0x396db56cc6261cf1:0xb63edaa648150cd!8m2!3d26.8451767!4d75.7619005!16s%2Fg%2F11rtd4vtz9!19sChIJ8Rwmxmy1bTkRzVCBZKrtYws?authuser=0&hl=en&rclk=1","BREATH CARE - Dr.Jitendra / Pulmonologist in Mansarovar Jaipur","5.0","(204)","Pulmonologist","·","","·","38, Iskcon Rd","Closed","· Opens 8:15 am","·","094600 89839","https://www.drjitendraverma.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr.Pankaj+singh+Allergy,+vertigo+and+ENT+specialist+in+jaipur/data=!4m7!3m6!1s0x396db5dcf4f125a7:0xa8e0b9d9b7592a4d!8m2!3d26.8461007!4d75.7501692!16s%2Fg%2F11hcm_8p90!19sChIJpyXx9Ny1bTkRTSpZt9m54Kg?authuser=0&hl=en&rclk=1","Dr.Pankaj singh Allergy, vertigo and ENT specialist in jaipur","4.8","(208)","ENT Specialist","·","","Versatile diagnostics, 97, Patrakar Colony Rd","·","Closed","· Opens 6 pm","","096607 66777","https://entdoctorjaipur.in/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr+Ashish+Jangir/data=!4m7!3m6!1s0x396db5ed19acf627:0x6ca37e40346502a5!8m2!3d26.8556631!4d75.7627835!16s%2Fg%2F11kkvfqsq3!19sChIJJ_asGe21bTkRpQJlNEB-o2w?authuser=0&hl=en&rclk=1","Dr Ashish Jangir","5.0","(114)","Medical clinic","·","","·","Meher Arogya. 83, 32, Arawali Marg","Closed","· Opens 5:30 pm","","","https://drashishjangir.com/","","Website","","Directions","""Superb advice nice treatment

Great doctor""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Arora%27s+Homoeopathic+Clinic/data=!4m7!3m6!1s0x396db14d2f631dbd:0x13366c081dc20f72!8m2!3d26.8493816!4d75.7734401!16s%2Fg%2F11h_zb9fsy!19sChIJvR1jL02xbTkRcg_CHQhsNhM?authuser=0&hl=en&rclk=1","Arora's Homoeopathic Clinic","5.0","(156)","Medical clinic","·","","93/91","·","Closed","· Opens 6 pm","","096801 19056","https://www.arorahomoeoclinic.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr.+Savita+Agrawal/data=!4m7!3m6!1s0x396db5ada477e213:0x9b3daedafbaabbd!8m2!3d26.8659257!4d75.7675273!16s%2Fg%2F11b6t_kds8!19sChIJE-J3pK21bTkRvau6r-3aswk?authuser=0&hl=en&rclk=1","Dr. Savita Agrawal","4.7","(103)","Skin care clinic","·","","SA Skin Care, 52/81, Padmani VT Rd","·","Closed","· Opens 6 pm","","063670 13524","","","Directions","","","""Very effective treatment ,very polite in nature.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Vijay+Paliwal/data=!4m7!3m6!1s0x396db5bcb63095f3:0x4b06dc5a8e96b675!8m2!3d26.8511711!4d75.7649294!16s%2Fg%2F11c6t9k3ll!19sChIJ85Uwtry1bTkRdbaWjlrcBks?authuser=0&hl=en&rclk=1","Dr. Vijay Paliwal","3.8","(77)","Medical clinic","·","","101/14, Patel Marg, near SBI Bank","·","Closed","· Opens 5 pm","","094142 33416","","","Directions","","","""The doctor is having an excellent diagnosis skills.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Raj+ENT+Hospital/data=!4m7!3m6!1s0x396db502754c39db:0xdefd8c16ce7a7477!8m2!3d26.8399167!4d75.7698272!16s%2Fg%2F11f157pnyw!19sChIJ2zlMdQK1bTkRd3R6zhaM_d4?authuser=0&hl=en&rclk=1","Raj ENT Hospital","4.6","(466)","ENT Specialist","·","","·","1/54, B2 Bypas road SFS, Mansarovar Agarwal Farm","Closed","· Opens 10 am","·","098281 88388","http://www.rajenthospital.in/","","Website","","Directions","""The doctors are experienced and everything is well maintained.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Purvi+Nursing+Home+%26+Diagnostic+Centre/data=!4m7!3m6!1s0x396db5a8ffffffff:0x54ea2f9169c7e381!8m2!3d26.8635921!4d75.7549613!16s%2Fg%2F11c2kc3jv8!19sChIJ_____6i1bTkRgePHaZEv6lQ?authuser=0&hl=en&rclk=1","Purvi Nursing Home & Diagnostic Centre","4.7","(28)","Nursing home","·","","·","48, 110, Rajat Path","Open 24 hours","","·","0141 417 0591","","","Directions","","","""Well experienced","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors","with expert advise at very affordable charges."""
"https://www.google.com/maps/place/La+Dermis+Clinic+Dr.+Meenal+Makkar/data=!4m7!3m6!1s0x396db52457f6b213:0xba4bec11264caffb!8m2!3d26.8531527!4d75.7671712!16s%2Fg%2F11tdc_85_4!19sChIJE7L2VyS1bTkR-69MJhHsS7o?authuser=0&hl=en&rclk=1","La Dermis Clinic Dr. Meenal Makkar","4.9","(184)","Dermatologist","·","","·","First floor, 70/66 Main, Madhyam Marg, near Mansarovar Plaza, above accord showroom","Closed","· Opens 9:30 am","·","088299 00141","http://www.ladermisclinic.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/matrutva+mother+and+child+clinic/data=!4m7!3m6!1s0x396db5759a340c2d:0xa06809ff2bbc8f20!8m2!3d26.8555298!4d75.7627882!16s%2Fg%2F11lgbtg623!19sChIJLQw0mnW1bTkRII-8K_8JaKA?authuser=0&hl=en&rclk=1","matrutva mother and child clinic","5.0","(34)","Medical clinic","·","","·","Ward 75, 83/31, Arawali Marg","Closed","· Opens 6 pm","·","081051 86341","http://www.matrutva.co/","","Website","","Directions","""Doctor and staff were good!""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Lokesh+Jain+Gastro+and+Liver+clinic/data=!4m7!3m6!1s0x396db5a121246535:0xaa799b00039a47f!8m2!3d26.8509402!4d75.7634196!16s%2Fg%2F11hd21qgqh!19sChIJNWUkIaG1bTkRf6Q5ALCZpwo?authuser=0&hl=en&rclk=1","Dr Lokesh Jain Gastro and Liver clinic","4.3","(79)","Gastroenterologist","·","","81/60, Patel Marg","·","Closed","· Opens 9 am","","079760 65848","","","Directions","","","On-site services","","",""
"https://www.google.com/maps/place/Dr.+Jain%27s+Child+%26+Dental+Care/data=!4m7!3m6!1s0x396db5ac178e25c1:0xa7855652bc7b1425!8m2!3d26.8646633!4d75.7674652!16s%2Fg%2F11gbqczrf0!19sChIJwSWOF6y1bTkRJRR7vFJWhac?authuser=0&hl=en&rclk=1","Dr. Jain's Child & Dental Care","4.9","(39)","Hospital","·","","52, 201, Padmani VT Rd, near Apex College","","","","","090294 45115","","","Directions","","","On-site services","","",""
"https://www.google.com/maps/place/Dr+Kapil+Dhawan/data=!4m7!3m6!1s0x396db53689535819:0xd346850f6945a6aa!8m2!3d26.8531712!4d75.7671481!16s%2Fg%2F11t9kct9ny!19sChIJGVhTiTa1bTkRqqZFaQ-FRtM?authuser=0&hl=en&rclk=1","Dr Kapil Dhawan","4.9","(55)","Pediatrician","·","","Mansarovar Plaza, 70/66 Main, Madhyam Marg, near Patel Marg, above Accord Showroom Mansarover","·","Closed","· Opens 5:30 pm","","088299 00141","","","Directions","","","""The","https://ssl.gstatic.com/local/servicebusiness/default_user.png","clinic","itself was clean, well-equipped, and had a friendly atmosphere."""
"https://www.google.com/maps/place/Child+trust+clinic+%28Dr.Shyam+Sharma+%29/data=!4m7!3m6!1s0x396db54990c789db:0xedfa6659b660e15b!8m2!3d26.8516291!4d75.771132!16s%2Fg%2F11s7zzq2_b!19sChIJ24nHkEm1bTkRW-Fgtllm-u0?authuser=0&hl=en&rclk=1","Child trust clinic (Dr.Shyam Sharma )","5.0","(3)","Medical clinic","·","","91/186, Gokhale Marg","·","Closed","· Opens 6 pm","","090572 98696","","","Directions","","","""Best Doctor for children""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/MAYA+EYE+HOSPITAL/data=!4m7!3m6!1s0x396db5a2b86191a3:0xf4fed0543e13af8!8m2!3d26.8483628!4d75.7707477!16s%2Fg%2F124ydbrny!19sChIJo5FhuKK1bTkR-DrhQwXtTw8?authuser=0&hl=en&rclk=1","MAYA EYE HOSPITAL","4.8","(2,533)","Hospital","·","","·","94/200, Vijay Path","Closed","· Opens 9:30 am","·","095097 01200","https://mayaeyehospital.com/","","Website","","Directions","""The","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors","are highly skilled, and the staff is very friendly."""
"https://www.google.com/maps/place/Dr.+B.+Lal+Clinical+Laboratory+-+Patrakar+Colony,+Mansarovar/data=!4m7!3m6!1s0x396db5fa51e69167:0x2fd89a9a07b58f4c!8m2!3d26.8469752!4d75.7510582!16s%2Fg%2F11jw45zr43!19sChIJZ5HmUfq1bTkRTI-1B5qa2C8?authuser=0&hl=en&rclk=1","Dr. B. Lal Clinical Laboratory - Patrakar Colony, Mansarovar","5.0","(145)","Diagnostic center","·","","·","40, Vinayak Vihar, Patrakar Colony Rd","Closed","· Opens 7:30 am","·","083023 62464","https://blallab.com/","","Website","","Directions","""Its the cooperative and kind nature of staff that makes B Lal so good.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Vaibhav+Upadhyay%27s/data=!4m7!3m6!1s0x396db535d565f1d9:0x4a917a4a1c02f616!8m2!3d26.8531899!4d75.7628937!16s%2Fg%2F11wv9kvkls!19sChIJ2fFl1TW1bTkRFvYCHEp6kUo?authuser=0&hl=en&rclk=1","Dr. Vaibhav Upadhyay's","4.9","(60)","Child health care center","·","","81/117, Chikitsalay Marg","·","Closed","· Opens 4:30 pm","","087003 36354","","","Directions","","","""The","https://ssl.gstatic.com/local/servicebusiness/default_user.png","clinic","is clean, well-equipped, and child-friendly."""
"https://www.google.com/maps/place/Dr.+Neha+Gupta+Dental+Clinic/data=!4m7!3m6!1s0x396db5516b93f911:0xa334210c9dabef59!8m2!3d26.8618891!4d75.7727101!16s%2Fg%2F11rhzy8h9k!19sChIJEfmTa1G1bTkRWe-rnQwhNKM?authuser=0&hl=en&rclk=1","Dr. Neha Gupta Dental Clinic","4.9","(231)","Dental clinic","·","","79/122","·","Closed","· Opens 9 am","","099820 62615","https://www.nvaestheticsdentalhub.com/best-dentist-in-mansarovar","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Mansarovar+Hospital/data=!4m7!3m6!1s0x396db697c813f531:0x732092ee4a6e6b0c!8m2!3d26.8477206!4d75.7698093!16s%2Fg%2F1vknmsd3!19sChIJMfUTyJe2bTkRDGtuSu6SIHM?authuser=0&hl=en&rclk=1","Mansarovar Hospital","3.8","(40)","Hospital","·","","·","111/196, Agarwal Farm, Vijay Path Chauraha","Closed","· Opens 10 am","·","076900 21988","","","Directions","","","""Great experience with","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr","B L jain."""
"https://www.google.com/maps/place/Dr.+Neelam+Bapna/data=!4m7!3m6!1s0x396db534cf8de115:0xfbd8fa34e6292f49!8m2!3d26.8491271!4d75.7655986!16s%2Fg%2F11fd4bb2tq!19sChIJFeGNzzS1bTkRSS8p5jT62Ps?authuser=0&hl=en&rclk=1","Dr. Neelam Bapna","4.4","(255)","Obstetrician-gynecologist","·","","·","Shivani Fertility and IVF Centre, Saket Hospital, Sector 10, Meera Marg","Closed","· Opens 10 am","·","098280 37529","","","Directions","","","""Doctors like her are rare — a perfect blend of expertise and empathy.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+B.+Lal+Clinical+Laboratory+-+Sector+6,+Mansarovar/data=!4m7!3m6!1s0x396db54069545f2b:0xd32a47ada5bcaf!8m2!3d26.8578588!4d75.759916!16s%2Fg%2F11rn4g3fh9!19sChIJK19UaUC1bTkRr7ylrUcq0wA?authuser=0&hl=en&rclk=1","Dr. B. Lal Clinical Laboratory - Sector 6, Mansarovar","5.0","(31)","Diagnostic center","·","","69/85, near Peacock Uniforms","·","Closed","· Opens 7:30 am","","091661 25555","https://blallab.com/","","Website","","Directions","""Well maintained centre
Trained staff""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Pradeep+Kumar+Agrawal/data=!4m7!3m6!1s0x396db5acf1a404f3:0x6e69c3301a21e995!8m2!3d26.8510473!4d75.7644964!16s%2Fg%2F1yglpdgtm!19sChIJ8wSk8ay1bTkRlekhGjDDaW4?authuser=0&hl=en&rclk=1","Dr Pradeep Kumar Agrawal","4.8","(76)","Doctor","·","","101/3, Patel Marg , Mittal and Polyclinic Near icici bank Between madhyam Marg and, New Sanganer Rd","·","Closed","· Opens 6 pm","","094148 57405","","","Directions","","","""The doctor was knowledgeable, attentive, and efficient.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Neeraj+Bhateja/data=!4m7!3m6!1s0x396db5a978656e0b:0x32d8caad57ff561b!8m2!3d26.8630703!4d75.763406!16s%2Fg%2F11crzjcnfv!19sChIJC25leKm1bTkRG1b_V63K2DI?authuser=0&hl=en&rclk=1","Dr Neeraj Bhateja","4.6","(292)","Gastroenterologist","·","","·","53/94, Saryu Marg","Open 24 hours","","·","082331 87363","","","Directions","","","""The patient was saved from surgery and recovered well""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Shikha+Gupta+-+Gynecologist+%26+Infertility+Specialist,+Mansarovar,+Jaipur/data=!4m7!3m6!1s0x396dcb2d7d67182b:0xbea4eb8cbcf6a082!8m2!3d26.8333728!4d75.7523964!16s%2Fg%2F11h8rcb3y8!19sChIJKxhnfS3LbTkRgqD2vIzrpL4?authuser=0&hl=en&rclk=1","Dr. Shikha Gupta - Gynecologist & Infertility Specialist, Mansarovar, Jaipur","4.8","(765)","Gynecologist","·","","·","B, Plot no- 7, Vande Mataram Marg, near Hotel Hyatt","Closed","· Opens 9 am","·","074148 59859","http://divahospitals.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr.+Yogesh+sharma+Physiotherapist+in+Mansarover/data=!4m7!3m6!1s0x396db58f4316bc69:0x9eef04f20c134d85!8m2!3d26.8623236!4d75.753391!16s%2Fg%2F11z7mwm0hd!19sChIJabwWQ4-1bTkRhU0TDPIE754?authuser=0&hl=en&rclk=1","Dr. Yogesh sharma Physiotherapist in Mansarover","5.0","(1)","Physiotherapist","·","","26 a","","Open 24 hours","","","","","","Directions","","","""Best physiotherapist in mansarover... Highly recommended""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Deepak+Agarwal+-+Interventional+Radiologist+Jaipur/data=!4m7!3m6!1s0x396db5432be398a3:0xaebe6b5c4cd4b2e9!8m2!3d26.8669735!4d75.7692884!16s%2Fg%2F11j1zb02qg!19sChIJo5jjK0O1bTkR6bLUTFxrvq4?authuser=0&hl=en&rclk=1","Dr. Deepak Agarwal - Interventional Radiologist Jaipur","4.9","(1,705)","Medical clinic","·","","·","AEIRC, VT Tower, Opp HCG Hospital, Shipra Path, Landmark:, below Kotak Mahindra Bank","Closed","· Opens 8 am","·","095829 99597","https://www.aeirc.co.in/","","Website","","Directions","On-site services not available","","",""
"https://www.google.com/maps/place/Cabelo+Clinic/data=!4m7!3m6!1s0x396db5aba93f9e49:0x4b3a336fd2ee7530!8m2!3d26.8611045!4d75.7733726!16s%2Fg%2F11hsxhfsm8!19sChIJSZ4_qau1bTkRMHXu0m8zOks?authuser=0&hl=en&rclk=1","Cabelo Clinic","4.6","(463)","Hair transplantation clinic","·","","·","Ground floor, Shipra Path, opposite Landscape park","Closed","· Opens 10 am","·","073004 60006","https://www.cabeloclinic.com/","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Doctor","and Staff are very helpful."""
"https://www.google.com/maps/place/Dr+Lal+PathLabs+-+Patient+Service+Centre/data=!4m7!3m6!1s0x396db5597d43c8c7:0x7eedc2a63bde043a!8m2!3d26.8660386!4d75.7617236!16s%2Fg%2F11rcqtzr60!19sChIJx8hDfVm1bTkROgTeO6bC7X4?authuser=0&hl=en&rclk=1","Dr Lal PathLabs - Patient Service Centre","4.9","(303)","Diagnostic center","·","","Shop No, 35 Zone, 55, Rajat Path, near Apex Hospital","·","Closed","· Opens 7:30 am","","08071 370 936","https://labs.lalpathlabs.com/dr-lal-pathlabs-patient-service-centre-diagnostic-centre-sector-5-jaipur-313660/Home?utm_source=locator&utm_medium=googleplaces","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr.+Manisha+Jain/data=!4m7!3m6!1s0x396db56d58f74e29:0x533eeb8d6a04eba9!8m2!3d26.8555405!4d75.773273!16s%2Fg%2F11t3g8s96h!19sChIJKU73WG21bTkRqesEao3rPlM?authuser=0&hl=en&rclk=1","Dr. Manisha Jain","4.9","(1,810)","Obstetrician-gynecologist","·","","·","151/3, Shipra Path","Closed","· Opens 8:30 am","·","075684 88887","https://www.drmanishajain.com/","","Website","","Directions","""The doctor was very supportive, patient, and knowledgeable at every stage.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/AEIRC+Diagnostic+%26+Intervention+Centre+%7C+Diagnostic+Centre+%7CSonography+In+Mansarovar/data=!4m7!3m6!1s0x396db5623d80eb73:0xd8ae6d63acba1d3b!8m2!3d26.8668724!4d75.7696053!16s%2Fg%2F11vd35jm2q!19sChIJc-uAPWK1bTkROx26rGNtrtg?authuser=0&hl=en&rclk=1","AEIRC Diagnostic & Intervention Centre | Diagnostic Centre |Sonography In Mansarovar","4.9","(319)","Diagnostic center","·","","·","VT Tower, Shipra Path, opp. Hcg Hospital, below Kotak Mahindra Bank","Closed","· Opens 9 am","·","095829 99597","https://www.aeirc.co.in/advanced-lab-and-imaging-centre/","","Website","","Directions","""Very knowledgeable, Dependable and Trustworthy","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Doctor","hardly ever seen."""
"https://www.google.com/maps/place/Derma+Magnetica+Clinic/data=!4m7!3m6!1s0x396db54f49e8fd69:0xc1220abe373ded88!8m2!3d26.8663593!4d75.770632!16s%2Fg%2F11rqg_gkjg!19sChIJaf3oSU-1bTkRiO09N74KIsE?authuser=0&hl=en&rclk=1","Derma Magnetica Clinic","4.8","(550)","Hair transplantation clinic","·","","·","Shop No. 5, Upper Ground, Abl Sky Terraces","Closed","· Opens 10 am","·","070735 70736","https://www.dermamagnetica.com/","","Website","","Directions","""Professional","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors",", great ambiance, and visible results."""
"https://www.google.com/maps/place/Treatment+Hub/data=!4m7!3m6!1s0x396db5003c91d8fd:0x8c92234cb186dff5!8m2!3d26.8606411!4d75.7630683!16s%2Fg%2F11ghzsz8vd!19sChIJ_diRPAC1bTkR9d-GsUwjkow?authuser=0&hl=en&rclk=1","Treatment Hub","5.0","(9)","Medical clinic","·","","TREATMENT HUB, 69/280, VT Rd","·","Closed","· Opens 5:30 pm","","098285 70240","","","Directions","","","""Good homeopathy treatment is provided by well deserved doctors""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Shalini+Homeopathic+clinic-Homeopathic+skin,+Homeopathic+Doctor,+Hair+Treatment+Doctor+Jaipur/data=!4m7!3m6!1s0x396db50b74100edb:0xef98ef594e283722!8m2!3d26.854907!4d75.7653503!16s%2Fg%2F11gzs5thf2!19sChIJ2w4QdAu1bTkRIjcoTlnvmO8?authuser=0&hl=en&rclk=1","Dr Shalini Homeopathic clinic-Homeopathic skin, Homeopathic Doctor, Hair Treatment Doctor Jaipur","4.7","(61)","Homeopath","·","","Shop Shop No-80 CS-01 Corner, Sec 8, opp. Mansarovar Plaza","·","Closed","· Opens 9:30 am","","098876 63410","https://www.drshalinihomeopathicclinic.com/","","Website","","Directions","""The treatment is effective, and the overall service is professional.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Kapil+Dev+Garg+Best+arthroscopy+surgeon/data=!4m7!3m6!1s0x396db44f79aeeef5:0x8d40a8b8d5c5f1e6!8m2!3d26.8562344!4d75.7737839!16s%2Fg%2F11b633nhlb!19sChIJ9e6ueU-0bTkR5vHF1bioQI0?authuser=0&hl=en&rclk=1","Dr. Kapil Dev Garg Best arthroscopy surgeon","4.9","(342)","Orthopedic surgeon","·","","·","151 19, Shipra Path","Closed","· Opens 10 am","·","094600 49935","","","Directions","","","""He gives you the right advice and treatment.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Neha+Agrawal/data=!4m7!3m6!1s0x396db5e3166180ad:0xcece11a9438787b4!8m2!3d26.842467!4d75.7683541!16s%2Fg%2F11l5vb8894!19sChIJrYBhFuO1bTkRtIeHQ6kRzs4?authuser=0&hl=en&rclk=1","Dr. Neha Agrawal","4.8","(155)","Dermatologist","·","","·","SFS CIRCLE, Agarwal Farm, 124/503, near Apollo Pharmacy","Closed","· Opens 4 pm","·","098877 33100","https://ads.drnehaskinclinic.com/","","Website","","Directions","On-site services","","",""
