"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","ah5Ghc 2","W4Efsd 5","UsdlK","Jn12ke src","W4Efsd 6"
"https://www.google.com/maps/place/Anchor+Tea+And+Coffee/data=!4m7!3m6!1s0x3be7cef31cd990c5:0x86be3b17f83cd340!8m2!3d18.9971095!4d72.830172!16s%2Fg%2F1hjglk7px!19sChIJxZDZHPPO5zsRQNM8-Bc7voY?authuser=0&hl=en&rclk=1","Anchor Tea And Coffee","4.8","(4)","Tea store","·","Shop No.10,34/36,Mistri Building,Lower Parel(West), Sanmill Road","Closed","","","Directions","","","""One of the sellers of 🪔Diva's oil at the lowest price.""","","·","098694 77627","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 10 am"
"https://www.google.com/maps/place/Anchor+Jatinder/data=!4m7!3m6!1s0x390ff366602df76f:0x84a310d80a7a0ea0!8m2!3d30.7680494!4d76.782702!16s%2Fg%2F11vx4hz7p6!19sChIJb_ctYGbzDzkRoA56CtgQo4Q?authuser=0&hl=en&rclk=1","Anchor Jatinder","4.7","(35)","Artist","","·","Closed","","","Directions","","","""Best anchor in our town.""","","","099969 03334","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Pharma+Pvt+Ltd/data=!4m7!3m6!1s0x3be7ce18eaaaaaab:0x32c17b8ebce052dc!8m2!3d18.9470738!4d72.8268413!16s%2Fg%2F1tfjjlkp!19sChIJq6qq6hjO5zsR3FLgvI57wTI?authuser=0&hl=en&rclk=1","Anchor Pharma Pvt Ltd","4.7","(6)","Pharmaceutical company","·","557, Jagannath Shankar Seth Rd","","https://anchorpharma.in/","","Website","","Directions","","","·","022 2201 3443","",""
"https://www.google.com/maps/place/Anchor+simran+kaur/data=!4m7!3m6!1s0xf75ea2172cbbef5:0x842e427c6f941216!8m2!3d20.8584951!4d75.1187732!16s%2Fg%2F11zd36q3kk!19sChIJ9b7LciHqdQ8RFhKUb3xCLoQ?authuser=0&hl=en&rclk=1","Anchor simran kaur","","","Event planner","","","","https://www.instagram.com/simrankaur_withvibe28?igsh=MWZiNmVraWs1amtsNQ==&utm_source=qr","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Events+Anchor+Sayanti/data=!4m7!3m6!1s0x6b04cf316cc641e9:0xf85f72bd20c7e8e8!8m2!3d19.0965798!4d72.9255355!16s%2Fg%2F11x5dz1qx6!19sChIJ6UHGbDHPBGsR6OjHIL1yX_g?authuser=0&hl=en&rclk=1","Events Anchor Sayanti","","","Event planner","","·","Open 24 hours","https://www.instagram.com/anchorsayantibanerjee/","","Website","","Directions","Online appointments","","","096745 28406","",""
"https://www.google.com/maps/place/Anchor+Tandoor+Industries/data=!4m7!3m6!1s0x3be7ce76b6b6d7d1:0xeeb98efded1d1a79!8m2!3d18.9705466!4d72.8097479!16s%2Fg%2F11fnw1k520!19sChIJ0de2tnbO5zsReRod7f2Oue4?authuser=0&hl=en&rclk=1","Anchor Tandoor Industries","5.0","(2)","No. 23, Dr Gopalrao Deshmukh Marg","","·","Open 24 hours","https://www.anchortandoorindia.com/","","Website","","Directions","""Very nice tandoor and good product supplier Mumbai""","","","098196 60234","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/KENIA+%26+ANCHOR+ENGLISH+SCHOOL/data=!4m7!3m6!1s0x3be7ce58db2d1cbf:0x5d233947359a2f1!8m2!3d18.9869511!4d72.835427!16s%2Fg%2F11b5_5jvw3!19sChIJvxwt21jO5zsR8aJZc5Qz0gU?authuser=0&hl=en&rclk=1","KENIA & ANCHOR ENGLISH SCHOOL","4.4","(45)","English language school","·","74c, Dr Babasaheb Ambedkar Rd","","","","Directions","","","Online classes","","","","",""
"https://www.google.com/maps/place/Anchor+%2F+Emcee+Prasad+Kshirsagar/data=!4m7!3m6!1s0x3be7cf6df5736811:0x8e828dc902b08322!8m2!3d19.0059215!4d72.8265299!16s%2Fg%2F11y44gxm6v!19sChIJEWhz9W3P5zsRIoOwAsmNgo4?authuser=0&hl=en&rclk=1","Anchor / Emcee Prasad Kshirsagar","3.0","(2)","Artist","·","342/_4, Nestle building, onkar tower, Senapati Bapat Marg","","","","Directions","","","""One of the most impressive aspects was Prasad's attention to detail.""","","·","083080 00202","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchors+computers/data=!4m7!3m6!1s0x3be7cfe5882d6aff:0x6db6e9fbbff498bb!8m2!3d19.0009068!4d72.8479422!16s%2Fg%2F11p64nxpvs!19sChIJ_2otiOXP5zsRu5j0v_vptm0?authuser=0&hl=en&rclk=1","Anchors computers","5.0","(4)","Computer repair service","·","Marwadi wadi, 7/13, Mukunj Jadhav Marg","","","","Directions","","","""I love their computers.""","","·","083690 86363","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+pipe+fittings/data=!4m7!3m6!1s0x3be7ce3e753298b1:0x2b6b0e1bb47ccb6e!8m2!3d18.9599114!4d72.8293929!16s%2Fg%2F11gcmx_qlq!19sChIJsZgydT7O5zsRbst8tBsOays?authuser=0&hl=en&rclk=1","Anchor pipe fittings","","","Pipe Manufacturer","","·","","https://anchorpipefittings.com/","","Website","","Directions","","","","022 2385 1658","",""
"","","","","","","","","","","","","","","","","","",""
